,timestep,trust_prop,anger_prop,fear_prop,negative_prop,sadness_prop,surprise_prop,positive_prop,disgust_prop,joy_prop,anticipation_prop,trust_cnts,anger_cnts,fear_cnts,negative_cnts,sadness_cnts,surprise_cnts,positive_cnts,disgust_cnts,joy_cnts,anticipation_cnts,num_words,song_counts,WeekID,trust_prop_detrended,anger_prop_detrended,fear_prop_detrended,negative_prop_detrended,sadness_prop_detrended,surprise_prop_detrended,positive_prop_detrended,disgust_prop_detrended,joy_prop_detrended,anticipation_prop_detrended,DATE,MonthID,S&P,S&P_detrended,Unemp,Unemp_detrended,Food&Beverage,Food&Beverage_detrended,GDP,GDP_detrended,Income,Income_detrended,LoanRate,LoanRate_detrended
2021,1997-04-26,0.30802881300609103,0.17813586638312867,0.21692679457556546,0.38529491197912896,0.19170070078275184,0.12463562483300132,0.4903524862610984,0.12761839270687467,0.32138303767909954,0.2346066335183849,943.1666666666667,628.1666666666666,716.3333333333333,1312.8333333333333,635.3333333333334,412.5,1535.833333333333,433.0,918.0,711.8333333333333,3257.833333333334,80,1426,0.0023459782693179827,-0.0007890820722583902,0.005260449631390413,0.0045448430741703025,-0.0008785387551002999,0.001124073364699274,-0.0055092649086370135,0.001053960068116283,-0.003105791073534259,0.006108452347970611,1997-05-01,1997.333333333333,848.2800289999999,46.940001999999936,4.9,-0.1999999999999993,157.1,0.09999999999999433,,,8198.2,35.80000000000109,13.81,0.11666666666666715
2022,1997-05-03,0.3072339819735613,0.17813721667627513,0.21648911349579866,0.3890033747152232,0.1927129719005102,0.12398928619316894,0.48387067210603796,0.1291405598419576,0.3159896513579602,0.2326420562412521,931.1666666666664,626.8333333333334,712.3333333333331,1305.5,628.6666666666666,405.83333333333337,1478.4999999999998,437.0,884.3333333333335,696.8333333333335,3197.1666666666674,78,1427,-0.0007948310325297525,1.3502931464626222e-06,-0.0004376810797667996,0.003708462736094265,0.0010122711177583676,-0.0006463386398323777,-0.0064818141550603845,0.0015221671350829358,-0.0053933863211393365,-0.0019645772771328123,,,,,,,,,,,,,,
2023,1997-05-10,0.3022793058586635,0.17800829826600165,0.2203036863140324,0.3889379016246949,0.19538146487110086,0.12646633817765784,0.4792222460278988,0.12596169199114254,0.3117365460446013,0.2368953443502672,972.5,649.1666666666667,750.3333333333333,1352.1666666666667,660.3333333333333,429.83333333333337,1543.166666666667,442.33333333333337,926.6666666666664,731.8333333333335,3331.833333333334,81,1428,-0.004954676114897749,-0.0001289184102734875,0.003814572818233747,-6.547309052834517e-05,0.002668492970590658,0.002477051984488901,-0.004648426078139201,-0.003178867850815059,-0.0042531053133588745,0.004253288109015124,,,,,,,,,,,,,,
2024,1997-05-17,0.3179345182678689,0.1764103221071842,0.2074911636887273,0.3813353937543855,0.1908281627955112,0.12937194281231493,0.4972480972927763,0.12035638185290885,0.33022963448448456,0.24689097499753115,1041.5000000000002,639.8333333333334,713.3333333333333,1321.166666666667,640.0,439.16666666666674,1619.166666666667,423.33333333333337,1011.3333333333336,752.5,3345.166666666666,82,1429,0.015655212409205366,-0.00159797615881746,-0.012812522625305106,-0.007602507870309361,-0.004553302075589655,0.002905604634657083,0.01802585126487749,-0.005605310138233691,0.018493088439883232,0.009995630647263942,,,,,,,,,,,,,,
2025,1997-05-24,0.31763299743341245,0.1732178165894683,0.20797741953866744,0.3748374413790169,0.1877990029168932,0.13039469253159094,0.5040292353080448,0.1146433860644542,0.33305837519487824,0.2443049587996993,1054.1666666666667,622.5,701.6666666666665,1288.8333333333335,628.9999999999999,443.16666666666674,1640.5,396.33333333333337,1032.6666666666665,770.4999999999999,3347.5,81,1430,-0.00030152083445644795,-0.0031925055177158823,0.00048625584994013693,-0.0064979523753685995,-0.0030291598786180147,0.001022749719276017,0.006781138015268473,-0.005712995788454647,0.002828740710393685,-0.0025860161978318585,,,,,,,,,,,,,,
2026,1997-05-31,0.31495072475594904,0.17390950960955526,0.20863915787362866,0.3804881213298998,0.1879341255792956,0.12725265174769718,0.5008406584741953,0.12075816214498765,0.3309311907270551,0.2404768769115032,1066.1666666666667,632.1666666666667,712.3333333333333,1316.5000000000002,638.6666666666666,443.16666666666674,1661.5,413.00000000000006,1046.9999999999998,775.1666666666665,3397.833333333333,83,1431,-0.0026822726774634047,0.0006916930200869531,0.0006617383349612205,0.005650679950882864,0.00013512266240239823,-0.003142040783893768,-0.0031885768338494325,0.006114776080533443,-0.0021271844678231178,-0.0038280818881960828,1997-06-01,1997.416666666667,885.1400150000002,36.859986000000156,5.0,0.09999999999999963,157.4,0.30000000000001137,,,8224.5,26.29999999999927,,0.009999999999999787
2027,1997-06-07,0.3267600460395617,0.17235855010694004,0.2072282511135736,0.3780125456034476,0.1920554248163539,0.12941747524684813,0.502598649172716,0.11763389697146175,0.3354445822855557,0.24170298259368764,1078.8333333333333,625.3333333333334,709.1666666666665,1300.3333333333333,653.9999999999999,443.33333333333326,1630.1666666666665,410.83333333333337,1030.6666666666667,760.8333333333335,3343.333333333333,81,1432,0.011809321283612673,-0.0015509595026152179,-0.001410906760055064,-0.002475575726452184,0.0041212992370583115,0.002164823499150953,0.0017579906985206726,-0.003124265173525903,0.004513391558500557,0.0012261056821844252,,,,,,,,,,,,,,
2028,1997-06-14,0.32959004325633,0.16751002168467505,0.19691878940245927,0.3712714962949541,0.1797928738455039,0.12219730587443325,0.5102326879777868,0.11360742483773015,0.3436860595652041,0.2444792516316552,1064.3333333333333,592.1666666666667,661.0,1239.1666666666665,594.8333333333333,423.6666666666666,1627.0,376.16666666666674,1029.3333333333335,763.1666666666665,3275.5000000000005,80,1433,0.0028299972167682985,-0.0048485284222649925,-0.010309461711114326,-0.0067410493084935075,-0.012262550970849995,-0.007220169372414875,0.007634038805070742,-0.0040264721337315975,0.008241477279648413,0.0027762690379675714,,,,,,,,,,,,,,
2029,1997-06-21,0.3298687357910014,0.1671669912293953,0.19776603581427515,0.3723864577852489,0.180947401077828,0.12463591541054315,0.5157083148337362,0.1189494052326318,0.3520295095383712,0.24347818247693034,1013.0,579.1666666666667,662.0000000000001,1216.4999999999998,602.1666666666667,441.33333333333337,1563.833333333333,376.16666666666674,1008.6666666666667,744.1666666666667,3148.6666666666674,77,1434,0.00027869253467138755,-0.0003430304552797525,0.0008472464118158829,0.0011149614902948304,0.001154527232324093,0.0024386095361099013,0.005475626855949489,0.005341980394901649,0.008343449973167105,-0.0010010691547248651,,,,,,,,,,,,,,
2030,1997-06-28,0.31667277215256634,0.17387642578953091,0.20388376189734134,0.3843181981188722,0.18301520246003605,0.1212274804144409,0.5044778489176849,0.12039926610465382,0.3403552741932912,0.2342914621837421,990.5,617.0,692.3333333333335,1278.6666666666665,612.8333333333334,434.33333333333337,1560.333333333333,395.16666666666674,987.1666666666667,731.1666666666665,3213.833333333334,77,1435,-0.01319596363843506,0.006709434560135619,0.006117726083066183,0.011931740333623264,0.002067801382208051,-0.0034084349961022577,-0.011230465916051369,0.0014498608720220213,-0.011674235345079996,-0.009186720293188231,1997-07-01,1997.5,954.309998,69.169983,4.9,-0.09999999999999963,157.7,0.2999999999999829,11615.636,143.49900000000162,8255.6,31.100000000000364,,0.009999999999999787
