,timestep,trust_prop,anger_prop,fear_prop,negative_prop,sadness_prop,surprise_prop,positive_prop,disgust_prop,joy_prop,anticipation_prop,trust_cnts,anger_cnts,fear_cnts,negative_cnts,sadness_cnts,surprise_cnts,positive_cnts,disgust_cnts,joy_cnts,anticipation_cnts,num_words,song_counts,WeekID,trust_prop_detrended,anger_prop_detrended,fear_prop_detrended,negative_prop_detrended,sadness_prop_detrended,surprise_prop_detrended,positive_prop_detrended,disgust_prop_detrended,joy_prop_detrended,anticipation_prop_detrended
271,1963-10-12,0.2936373845258581,0.14885816475798852,0.2097677454713868,0.3850285647014858,0.2519736883006261,0.1365849271895935,0.5145516548546711,0.11825477327937743,0.33814381199689064,0.24932946547670745,420.6666666666666,223.5,325.1666666666667,580.6666666666667,392.66666666666674,224.83333333333331,754.6666666666667,172.33333333333331,521.0,396.5,1538.333333333333,63,-325,0.005381773083578345,0.005381773083578345,0.005381773083578345,0.005381773083578345,0.005381773083578345,0.005381773083578345,0.005381773083578345,0.005381773083578345,0.005381773083578345,0.005381773083578345
272,1963-10-19,0.3064153059638052,0.13421393000768025,0.1994187403004144,0.3700455304955911,0.2321585703758875,0.1315302807212002,0.5265276116740711,0.0939173489328338,0.3433040195040561,0.2320334182864251,493.33333333333326,220.5,330.1666666666667,602.6666666666667,390.66666666666674,237.83333333333331,844.3333333333335,159.33333333333331,590.0000000000001,402.16666666666674,1666.6666666666665,65,-324,-0.017296047190282354,-0.017296047190282354,-0.017296047190282354,-0.017296047190282354,-0.017296047190282354,-0.017296047190282354,-0.017296047190282354,-0.017296047190282354,-0.017296047190282354,-0.017296047190282354
273,1963-10-26,0.3028756684731473,0.1456964827499414,0.21579741906355893,0.3870870656691584,0.23810849211692026,0.13579183769102046,0.5181386604883784,0.09902935800252016,0.34028455641444266,0.2228316276737171,472.33333333333326,227.8333333333333,344.16666666666674,606.3333333333334,388.66666666666674,241.83333333333331,835.3333333333335,164.0,572.3333333333334,375.16666666666674,1637.0,64,-323,-0.00920179061270801,-0.00920179061270801,-0.00920179061270801,-0.00920179061270801,-0.00920179061270801,-0.00920179061270801,-0.00920179061270801,-0.00920179061270801,-0.00920179061270801,-0.00920179061270801
274,1963-11-02,0.3164554072940924,0.1630709270596479,0.21672897584261425,0.3838753773994201,0.24982699727,0.1453732991726101,0.5156189893306616,0.09747102570209408,0.35667990717178955,0.2327344556845503,486.66666666666674,253.8333333333333,341.8333333333333,597.3333333333334,401.16666666666674,247.33333333333331,824.6666666666667,161.0,594.0,382.66666666666674,1626.4999999999998,65,-322,0.009902828010833226,0.009902828010833226,0.009902828010833226,0.009902828010833226,0.009902828010833226,0.009902828010833226,0.009902828010833226,0.009902828010833226,0.009902828010833226,0.009902828010833226
275,1963-11-09,0.28958071088854065,0.15722412965225346,0.2357647815921924,0.4131263946934056,0.25431877540350256,0.14123455454371578,0.4811958006252533,0.09910728908249264,0.3185913308999817,0.2267875393045845,459.0,256.83333333333337,373.83333333333326,665.6666666666667,418.5,244.66666666666663,790.3333333333333,173.0,547.6666666666666,383.66666666666674,1675.5,67,-321,-0.005946916379965805,-0.005946916379965805,-0.005946916379965805,-0.005946916379965805,-0.005946916379965805,-0.005946916379965805,-0.005946916379965805,-0.005946916379965805,-0.005946916379965805,-0.005946916379965805
276,1963-11-16,0.2819581915997412,0.17514102222484862,0.24568863018653755,0.4244909562676373,0.2683837485062795,0.14291965727522574,0.4741752683671154,0.10807608264250312,0.3162994468488744,0.216139080248432,447.0,284.33333333333337,397.33333333333337,699.1666666666667,436.0,242.66666666666663,764.8333333333335,190.0,538.6666666666666,366.66666666666674,1668.4999999999998,66,-320,-0.010648459056152498,-0.010648459056152498,-0.010648459056152498,-0.010648459056152498,-0.010648459056152498,-0.010648459056152498,-0.010648459056152498,-0.010648459056152498,-0.010648459056152498,-0.010648459056152498
277,1963-11-23,0.312840587216054,0.17800551639040987,0.2474429402489883,0.4134394140270808,0.2647863961456191,0.1496561269332253,0.4908538888147339,0.12480746314807792,0.3350054562823271,0.21375952275853566,496.6666666666666,283.33333333333337,391.5,632.8333333333334,408.6666666666666,248.16666666666669,769.9999999999999,204.5,548.3333333333334,356.5,1574.333333333333,63,-319,-0.00237955748989635,-0.00237955748989635,-0.00237955748989635,-0.00237955748989635,-0.00237955748989635,-0.00237955748989635,-0.00237955748989635,-0.00237955748989635,-0.00237955748989635,-0.00237955748989635
278,1963-11-30,0.33269900717996265,0.15710145131466394,0.22080826167090134,0.3999317265810463,0.2476537661442887,0.14559574220232022,0.507958718142357,0.11864709198905872,0.3428199160717813,0.21629318207057147,549.8333333333333,249.33333333333331,339.49999999999994,629.3333333333333,379.83333333333326,246.66666666666669,831.1666666666665,193.5,576.5,356.16666666666674,1610.0,68,-318,0.0025336593120358075,0.0025336593120358075,0.0025336593120358075,0.0025336593120358075,0.0025336593120358075,0.0025336593120358075,0.0025336593120358075,0.0025336593120358075,0.0025336593120358075,0.0025336593120358075
279,1963-12-07,0.32369626504533017,0.14582170090083488,0.2169954359118748,0.39380346944089134,0.2360758419719366,0.1349979794545213,0.5037775701030893,0.11634081477531333,0.33709173423066624,0.2268290707898661,531.3333333333333,252.5,346.16666666666674,689.4999999999999,424.66666666666674,235.66666666666669,823.1666666666665,241.5,550.5,377.6666666666666,1676.666666666667,70,-317,0.010535888719294645,0.010535888719294645,0.010535888719294645,0.010535888719294645,0.010535888719294645,0.010535888719294645,0.010535888719294645,0.010535888719294645,0.010535888719294645,0.010535888719294645
280,1963-12-14,0.3192446003020491,0.14870557824305386,0.2067135211757383,0.3899005295332013,0.2214855406639608,0.13518388115322025,0.5017792073444465,0.11814753595181697,0.33564479186949714,0.23102629358842994,540.6666666666666,256.83333333333337,341.8333333333333,693.8333333333333,406.00000000000006,236.66666666666669,842.8333333333333,242.5,567.8333333333333,400.0,1720.0,69,-316,0.004197222798563827,0.004197222798563827,0.004197222798563827,0.004197222798563827,0.004197222798563827,0.004197222798563827,0.004197222798563827,0.004197222798563827,0.004197222798563827,0.004197222798563827
