,timestep,Positive_prop,Negative_prop,Time_prop,Human_prop,Object_prop,Knowledge_prop,Number_prop,Communication_prop,Place_prop,Government_prop,Positive_cnts,Negative_cnts,Time_cnts,Human_cnts,Object_cnts,Knowledge_cnts,Number_cnts,Communication_cnts,Place_cnts,Government_cnts,num_words
1912,1995-03-25,0.14912880208423512,0.17900284080209983,0.13559908991041925,0.17540677175949926,0.17527324169515815,0.0508860229414063,0.08347034048651586,0.015156881152666663,0.035153596466789526,0.000922412701209875,174.16666666666669,283.6666666666667,281.1666666666667,299.0,242.33333333333334,66.16666666666667,131.5,14.333333333333334,61.333333333333336,3.0,1556.6666666666667
1913,1995-04-01,0.16371430664595782,0.18695246388689432,0.14079653541863069,0.14934071919211384,0.16817794094725555,0.04941460651506731,0.09332047175018525,0.01572728017492369,0.03164437617380027,0.0009112992951712019,217.33333333333337,315.0,295.1666666666667,259.3333333333333,244.33333333333334,62.16666666666667,154.16666666666669,15.333333333333334,62.33333333333333,3.0,1628.166666666667
1914,1995-04-08,0.1606810974142535,0.1869317804330437,0.13884388849160398,0.16064123717066822,0.16596759594280577,0.045969194532745075,0.08819005650789553,0.015540050649031741,0.03633464836391419,0.0009004504940382114,217.33333333333337,321.0,297.1666666666667,274.0,250.33333333333331,60.16666666666667,154.66666666666669,15.333333333333334,67.33333333333334,3.0,1660.3333333333337
1915,1995-04-15,0.1600926339942545,0.19298850665910494,0.14225941192675182,0.158062619238211,0.15715353432085166,0.047095404844652744,0.08670307392305603,0.018948557793098862,0.035449894102345024,0.0012463631976734125,221.00000000000003,330.16666666666663,304.5,272.0,240.33333333333331,62.50000000000001,153.66666666666669,18.333333333333336,68.33333333333334,4.0,1674.8333333333335
1916,1995-04-22,0.1749856172177664,0.19046347908960634,0.13162304669442906,0.16155084684078327,0.15296001013682411,0.04926922624892586,0.08904609364563097,0.01860724243802804,0.03023323683321722,0.001261200854788572,219.6666666666667,306.1666666666667,279.8333333333333,269.0,217.0,59.50000000000001,143.66666666666669,17.333333333333336,50.333333333333336,4.0,1566.5000000000002
1917,1995-04-29,0.1769891428184023,0.20010352670611095,0.12598812851704014,0.15936451972812582,0.14889461162031423,0.04433264742909822,0.08896015108888486,0.01780182654352411,0.035721579842108414,0.001843865706390796,229.00000000000003,315.1666666666667,182.83333333333331,280.0,228.0,53.50000000000001,168.33333333333331,17.333333333333336,60.333333333333336,5.0,1539.5000000000002
1918,1995-05-06,0.1744575445428074,0.20188451512830888,0.1339723864618458,0.14997528194687532,0.1462418749510479,0.04303180348999283,0.09048907307191652,0.02147146740943408,0.036610494753658074,0.0018655582441130408,221.66666666666669,306.5,201.83333333333331,252.0,224.33333333333334,50.50000000000001,175.33333333333331,27.333333333333332,61.333333333333336,5.0,1525.8333333333333
1919,1995-05-13,0.17898593392656656,0.1905941326482287,0.13508484106930405,0.15912744007565563,0.1473390191001374,0.041198559582227366,0.08705865330332413,0.019050014645337385,0.039717539942827895,0.0018438657063907964,225.66666666666669,295.1666666666667,207.83333333333331,264.33333333333337,226.66666666666666,47.16666666666667,169.33333333333331,23.5,66.5,5.0,1531.1666666666665
1920,1995-05-20,0.17365403299450727,0.19373397271475806,0.1227841193985287,0.16887369420229473,0.14766329096761965,0.04345026120591678,0.08279106191196763,0.019808891822983062,0.045375116537310994,0.001865558244113041,233.0,297.1666666666667,185.0,277.33333333333337,227.33333333333331,47.833333333333336,164.33333333333331,24.166666666666668,68.5,5.0,1529.6666666666667
1921,1995-05-27,0.17539038497682627,0.20019262695711407,0.11382502115717905,0.1732861655464632,0.14431781343165534,0.04402913208363347,0.0888676549686415,0.01654331140350877,0.04166012220414952,0.0018877672708286725,229.0,295.1666666666667,164.0,300.16666666666663,220.33333333333331,47.833333333333336,181.33333333333331,14.166666666666666,62.5,5.0,1519.5
1922,1995-06-03,0.1826782222440984,0.20361643086374648,0.10871122073520308,0.1710901748579078,0.14230057700290133,0.04154943767240543,0.08931955378699576,0.015993860854058222,0.041215368365730524,0.003525153616952882,241.83333333333334,286.8333333333333,162.0,293.3333333333333,197.33333333333331,45.833333333333336,180.0,14.166666666666666,71.5,6.0,1498.8333333333335
