,Words,Count,SongCount,SemiAnnualSpan
305,lips,1350,840.0,120.0
306,might,3043,1694.0,120.0
307,cry,3663,1611.0,120.0
308,force,184,99.0,106.0
309,lungs,68,53.0,88.0
310,filled,352,279.0,120.0
311,lately,369,236.0,116.0
312,seems,1508,1021.0,120.0
313,big,3732,1725.0,120.0
314,leave,4981,2536.0,120.0
315,voice,795,519.0,120.0
316,cold,2122,1202.0,120.0
317,rainy,266,97.0,118.0
318,day,10252,4634.0,120.0
319,earth,689,389.0,120.0
320,hid,73,47.0,109.0
321,away,11211,4383.0,120.0
322,hear,5046,2621.0,120.0
323,sound,1622,927.0,120.0
324,noon,53,46.0,119.0
325,bell,235,128.0,119.0
326,chime,41,17.0,101.0
327,you've,4575,2281.0,120.0
328,put,6457,2930.0,120.0
329,'bout,2737,1260.0,120.0
330,half,918,619.0,120.0
331,lie,1887,884.0,120.0
332,lip,164,99.0,120.0
333,need,13573,4960.0,120.0
334,someone,3412,1748.0,120.0
335,scold,20,16.0,83.0
336,who'll,128,75.0,104.0
337,grab,522,343.0,119.0
338,pull,1492,832.0,118.0
339,out,21914,8126.0,120.0
340,four,995,610.0,120.0
341,poster,25,20.0,97.0
342,dull,42,29.0,117.0
343,torpor,1,1.0,-0.0
344,pulling,145,102.0,117.0
345,downward,6,5.0,65.0
346,such,1330,845.0,120.0
347,since,1959,1171.0,120.0
348,prayers,127,83.0,120.0
349,nightly,21,18.0,118.0
350,pass,988,606.0,120.0
351,through,7867,4262.0,120.0
352,blinds,27,23.0,118.0
353,wake,1405,690.0,120.0
354,mmm,994,405.0,120.0
355,la,8179,576.0,120.0
356,yeah,33363,6979.0,120.0
357,young,2946,1291.0,120.0
358,boy,5588,2045.0,120.0
359,name,3928,1920.0,120.0
360,anywhere,455,249.0,120.0
361,i'd,4535,2240.0,120.0
362,his,5496,2320.0,120.0
363,face,3744,2217.0,120.0
364,city,1815,870.0,120.0
365,kid's,21,17.0,107.0
366,favorite,451,279.0,119.0
367,i've,10735,4598.0,120.0
368,seen,2071,1283.0,120.0
369,him,5587,1987.0,120.0
370,every,8653,4031.0,120.0
371,run,4787,1922.0,120.0
372,outside,853,499.0,120.0
373,looking,2939,1526.0,120.0
374,place,3353,1892.0,120.0
375,father,459,288.0,119.0
376,kid,584,338.0,120.0
377,half-naked,2,2.0,31.0
378,said,9007,4002.0,120.0
379,myself,2904,1541.0,120.0
380,what's,3083,1560.0,120.0
381,tired,1050,611.0,120.0
382,excuses,58,38.0,103.0
383,uses,19,14.0,71.0
384,he's,3551,1317.0,120.0
385,stay,4961,2386.0,120.0
386,but,33909,11943.0,120.0
387,gave,1733,1035.0,120.0
388,right,15151,5927.0,120.0
389,morgan,4,4.0,45.0
390,street,1705,1030.0,120.0
391,ten,755,448.0,120.0
392,feet,1681,1049.0,120.0
393,mother,714,457.0,120.0
394,her,17053,4164.0,120.0
395,screams,77,49.0,96.0
396,cussing,7,7.0,59.0
397,threats,19,19.0,102.0
398,mind,6953,3460.0,120.0
399,beat,2753,1152.0,120.0
400,slap,117,71.0,112.0
401,silly,395,183.0,119.0
402,made,4766,2545.0,120.0
403,fit,406,283.0,120.0
404,get,28960,7811.0,120.0
405,approve,19,17.0,102.0
406,did,4478,2243.0,120.0
407,own,2756,1519.0,120.0
408,flesh,126,69.0,117.0
409,heard,2217,1375.0,120.0
410,sit,1222,765.0,120.0
411,chair,192,136.0,119.0
412,straight,1375,802.0,120.0
413,i'll,15195,5365.0,120.0
414,belt,84,68.0,108.0
415,around,8202,4070.0,120.0
416,waist,117,84.0,116.0
417,use,1029,668.0,120.0
418,answer,631,382.0,120.0
419,awful,111,70.0,120.0
420,crime,298,220.0,120.0
421,he,12587,3395.0,120.0
422,age,298,183.0,119.0
423,only,8854,4078.0,120.0
424,witness,141,82.0,114.0
425,madness,129,89.0,114.0
426,offer,115,83.0,119.0
427,some,9205,4213.0,120.0
428,balance,45,40.0,120.0
429,rude,140,72.0,118.0
430,suppose,98,74.0,118.0
431,instead,454,322.0,119.0
432,warmth,79,60.0,114.0
433,given,426,274.0,120.0
434,cuts,128,77.0,111.0
435,sores,3,3.0,33.0
436,dare,327,175.0,120.0
437,remember,3032,1460.0,120.0
438,before,4553,2563.0,120.0
439,promise,1160,591.0,120.0
440,whole,2349,1402.0,120.0
441,warm,919,579.0,120.0
442,true,4242,2212.0,120.0
443,blessed,229,140.0,120.0
444,lucky,780,282.0,120.0
445,touched,297,212.0,119.0
446,something,4716,2319.0,120.0
447,grow,845,527.0,120.0
448,bloom,71,53.0,120.0
449,may,2118,1136.0,120.0
450,rushing,56,37.0,109.0
451,over,7633,3017.0,120.0
452,part,1488,847.0,120.0
453,miracles,99,45.0,112.0
454,hour,541,355.0,120.0
455,fill,671,430.0,120.0
456,laughter,211,157.0,119.0
457,break,3549,1616.0,120.0
458,shaft,27,9.0,67.0
459,light,3698,1814.0,120.0
460,its,1120,639.0,119.0
461,across,774,523.0,120.0
462,meant,918,537.0,120.0
463,signs,204,144.0,120.0
464,meaning,238,158.0,119.0
465,speaking,104,79.0,120.0
466,sale,75,58.0,112.0
467,gabardine,2,2.0,23.0
468,suits,78,50.0,118.0
469,today,1981,1050.0,120.0
470,thirty,119,77.0,120.0
471,percent,90,29.0,89.0
472,fortrel,1,1.0,-0.0
473,polyester,2,2.0,26.0
474,leather,122,102.0,117.0
475,wool,13,11.0,100.0
476,tweed,5,4.0,69.0
477,visa,27,18.0,74.0
478,mastercard,1,1.0,-0.0
479,we've,1688,877.0,120.0
480,got,32348,8729.0,120.0
481,ev'ry,144,65.0,93.0
482,shade,207,134.0,120.0
483,located,1,1.0,-0.0
484,next,2006,1151.0,120.0
485,door,2441,1544.0,120.0
486,willy's,2,1.0,-0.0
487,arcade,29,10.0,88.0
488,fabric,10,8.0,67.0
489,known,882,564.0,120.0
490,king,989,466.0,120.0
491,suede,51,25.0,117.0
492,portly,2,2.0,8.0
493,regular,90,53.0,120.0
494,extra-long,1,1.0,-0.0
495,size,193,125.0,120.0
496,up,33588,8941.0,120.0
497,tailors,2,2.0,22.0
498,fix,374,195.0,119.0
499,wrong,3837,2119.0,120.0
500,kinds,98,54.0,111.0
501,sweatshirts,3,3.0,42.0
502,pick,870,549.0,120.0
503,collars,8,8.0,106.0
504,ripped,64,48.0,117.0
505,flashdance,1,1.0,-0.0
506,flick,50,42.0,117.0
507,prices,12,11.0,93.0
508,low,1866,775.0,120.0
509,staff,11,10.0,68.0
510,underpaid,5,5.0,56.0
511,buy,1035,627.0,120.0
512,rack,141,34.0,120.0
513,custom,34,23.0,115.0
514,guaranteed,124,71.0,103.0
515,shrink,12,12.0,110.0
516,fade,733,563.0,120.0
517,cause,7828,3434.0,120.0
518,reputation,91,65.0,112.0
519,tuxedo,8,8.0,85.0
520,junior,33,29.0,110.0
521,prom,32,29.0,116.0
522,best,3060,1641.0,120.0
523,taiwan,5,5.0,82.0
524,jackets,17,17.0,117.0
525,patches,25,10.0,111.0
526,elbows,35,13.0,104.0
527,we'll,3010,1334.0,120.0
528,sell,380,271.0,119.0
529,factory-direct,1,1.0,-0.0
530,past,981,707.0,120.0
531,second,776,503.0,120.0
532,grade,61,53.0,112.0
533,took,2376,1473.0,120.0
534,life,10707,4546.0,120.0
535,learn,989,562.0,120.0
536,trade,169,116.0,119.0
537,friends,2646,1490.0,120.0
538,two-for-one,3,3.0,66.0
539,three-piece,5,5.0,74.0
540,check,1554,674.0,115.0
541,pajamas,19,17.0,116.0
542,suede-covered,1,1.0,-0.0
543,boots,276,160.0,120.0
544,underwear,35,28.0,91.0
545,choose,447,315.0,120.0
546,step,1562,673.0,120.0
547,blue,2554,1245.0,120.0
548,shoes,902,554.0,120.0
549,miss,2301,980.0,120.0
550,giant,48,37.0,111.0
551,liquidation,1,1.0,-0.0
552,catalog,3,3.0,38.0
553,week's,8,7.0,79.0
554,mail,94,74.0,119.0
555,double-knit,1,1.0,-0.0
556,slacks,7,7.0,111.0
557,same,3616,1965.0,120.0
558,old,3875,2103.0,120.0
559,years,1551,1003.0,120.0
560,location,21,13.0,74.0
561,stayed,250,189.0,120.0
562,tough,485,304.0,120.0
563,competition,73,53.0,110.0
564,afraid,1081,580.0,120.0
565,destiny,186,141.0,120.0
566,always,6642,3234.0,120.0
567,fussy,1,1.0,-0.0
568,man,11185,4084.0,120.0
569,cap'n,3,3.0,52.0
570,crunch,9,9.0,68.0
571,raisin,8,8.0,109.0
572,bran,3,3.0,65.0
573,other,3299,1874.0,120.0
574,kids,882,513.0,120.0
575,starvin',17,15.0,98.0
576,japan,94,45.0,113.0
577,eat,806,523.0,120.0
578,argue,78,53.0,113.0
579,debate,15,13.0,69.0
580,foods,4,4.0,71.0
581,dessert,29,16.0,98.0
582,clean,575,315.0,118.0
583,plate,130,100.0,118.0
584,full,1276,835.0,120.0
585,yourself,1990,952.0,120.0
586,egg,46,27.0,120.0
587,chicken,239,120.0,120.0
588,pie,215,101.0,120.0
589,doesn't,1218,654.0,120.0
590,boiled,4,3.0,56.0
591,fried,49,26.0,115.0
592,woo,1661,477.0,119.0
593,table,312,223.0,120.0
594,manners,43,29.0,104.0
595,crying,1059,558.0,120.0
596,shame,778,351.0,120.0
597,playing,1056,644.0,120.0
598,food,249,176.0,117.0
599,ain't,14669,4621.0,120.0
600,kind,2227,1231.0,120.0
601,game,2128,1284.0,120.0
602,starve,28,22.0,110.0
603,death,444,306.0,118.0
604,listen,2010,1247.0,120.0
605,told,3106,1821.0,120.0
606,haven't,520,315.0,119.0
607,even,4817,2719.0,120.0
608,tuna,19,12.0,91.0
609,casserole,5,5.0,71.0
610,chow,19,7.0,86.0
611,down,21155,7360.0,120.0
612,gonna,14890,4446.0,120.0
613,open,1898,1131.0,120.0
614,mouth,761,480.0,120.0
615,yogurt,3,3.0,85.0
616,spam,4,4.0,66.0
617,fresh,530,274.0,119.0
618,canned,14,5.0,84.0
619,repeat,684,439.0,120.0
620,banana,36,22.0,119.0
621,bunch,199,117.0,120.0
622,had,7802,3992.0,120.0
623,lunch,67,60.0,119.0
624,getting,2281,1191.0,120.0
625,reheat,1,1.0,-0.0
626,dinner,156,129.0,120.0
627,snack,14,11.0,118.0
628,canadian,6,3.0,71.0
629,idiot,15,10.0,82.0
630,beer-swillin',1,1.0,-0.0
631,hockey,15,13.0,88.0
632,nut,113,62.0,120.0
633,frostbitten,1,1.0,-0.0
634,hose-head,1,1.0,-0.0
635,learned,561,374.0,120.0
636,alphabet,12,8.0,60.0
637,zed,2,2.0,16.0
638,donuts,9,9.0,53.0
639,moose,4,4.0,45.0
640,meat,51,41.0,116.0
641,house,1773,926.0,120.0
642,packin',38,29.0,114.0
643,heat,742,417.0,120.0
644,bring,2909,1363.0,120.0
645,guns,307,183.0,119.0
646,mall,133,103.0,79.0
647,else,2340,1323.0,120.0
648,funny,783,485.0,120.0
649,stupid,516,207.0,120.0
650,monopoly,12,12.0,64.0
651,money,4735,1721.0,120.0
652,seriously,69,30.0,105.0
653,maple,8,8.0,95.0
654,syrup,37,23.0,30.0
655,snow's,2,2.0,24.0
656,export,1,1.0,-0.0
657,treat,954,542.0,120.0
658,curling,2,2.0,23.0
659,sport,53,32.0,117.0
660,accent,10,10.0,77.0
661,cute,190,147.0,119.0
662,talkin',1256,617.0,120.0
663,aboot,1,1.0,-0.0
664,sure,2651,1576.0,120.0
665,they've,272,182.0,120.0
666,national,22,19.0,101.0
667,healthcare,1,1.0,-0.0
668,cheaper,54,14.0,102.0
669,meds,15,13.0,24.0
670,rates,5,5.0,55.0
671,air,1417,780.0,120.0
672,celine,5,5.0,24.0
673,dion,6,5.0,103.0
674,weight,221,148.0,118.0
675,kraft,1,1.0,-0.0
676,macaroni,5,5.0,40.0
677,drivin',192,122.0,116.0
678,zamboni,1,1.0,-0.0
679,saskatchewan,1,1.0,-0.0
680,figure,355,253.0,120.0
681,temperature,69,52.0,114.0
682,celsius,1,1.0,-0.0
683,map,128,86.0,115.0
684,hoverin',1,1.0,-0.0
685,truth,1231,747.0,119.0
686,makes,2550,1334.0,120.0
687,kinda,762,478.0,120.0
688,nervous,137,109.0,117.0
689,story,810,479.0,120.0
690,nose,301,193.0,119.0
691,they'll,592,346.0,120.0
692,sorry,1324,587.0,120.0
693,freaks,167,76.0,96.0
694,polite,41,25.0,106.0
695,gotta,7071,2530.0,120.0
696,mean,2782,1510.0,120.0
697,somethin',984,471.0,120.0
698,quick,437,328.0,120.0
699,comin',1205,574.0,120.0
700,pre-emptive,1,1.0,-0.0
701,strike,183,106.0,110.0
702,butt,262,123.0,93.0
703,wide,612,372.0,119.0
704,mine,4765,2201.0,120.0
705,watch,2616,1286.0,120.0
706,word,1450,887.0,120.0
707,cellulite,2,2.0,57.0
708,ham,39,26.0,113.0
709,wheat,9,9.0,105.0
710,zippers,8,7.0,106.0
711,bust,584,319.0,117.0
712,buckles,6,6.0,97.0
713,much,5858,3031.0,120.0
714,pavement,44,34.0,117.0
715,cracks,50,46.0,100.0
716,chins,4,3.0,83.0
717,chinatown,11,9.0,104.0
718,used,2975,1579.0,120.0
719,phone,1267,838.0,119.0
720,booth,83,72.0,116.0
721,toes,325,206.0,119.0
722,goin',1864,808.0,120.0
723,movies,170,103.0,120.0
724,seven,439,258.0,120.0
725,rows,20,13.0,114.0
726,fat,522,261.0,117.0
727,really,6690,2875.0,120.0
728,call,5355,2546.0,120.0
729,pudgy,1,1.0,-0.0
730,stout,3,3.0,88.0
731,once,2258,1337.0,120.0
732,who's,1404,724.0,120.0
733,walk,4036,1901.0,120.0
734,measures,3,3.0,35.0
735,richter,4,4.0,46.0
736,scale,42,39.0,94.0
737,beach,391,222.0,116.0
738,gets,1353,822.0,120.0
739,tan,157,100.0,119.0
740,mode,35,24.0,63.0
741,zip,42,29.0,120.0
742,code,93,69.0,106.0
743,having,596,372.0,119.0
744,seconds,89,62.0,89.0
745,twenty-thirds,1,1.0,-0.0
746,shined,31,21.0,109.0
747,sham,4,4.0,44.0
748,shadow,248,160.0,118.0
749,weighs,10,8.0,63.0
750,forty-two,2,2.0,18.0
751,pounds,56,48.0,115.0
752,lemme,204,92.0,114.0
753,plenty,212,147.0,119.0
754,space,509,326.0,120.0
755,hungry,319,198.0,119.0
756,sha,241,36.0,98.0
757,mone,2,2.0,16.0
758,crowd,565,386.0,120.0
759,huge,18,14.0,114.0
760,hoo,662,155.0,120.0
761,knows,1887,1044.0,120.0
762,lucy,78,19.0,111.0
763,home,6739,2855.0,120.0
764,ricky,59,38.0,117.0
765,fine,2378,1164.0,120.0
766,blow,1355,718.0,120.0
767,play,3949,1957.0,120.0
768,bongos,5,3.0,41.0
769,whine,98,24.0,98.0
770,conga,18,4.0,93.0
771,drums,80,64.0,119.0
772,little,11097,3891.0,120.0
773,middle,746,388.0,118.0
774,shakin',125,72.0,117.0
775,maraccas,1,1.0,-0.0
776,sick,598,362.0,120.0
777,fred,39,28.0,118.0
778,ethel,13,2.0,18.0
779,coming,2684,1214.0,120.0
780,eats,23,17.0,94.0
781,pretzel,4,3.0,100.0
782,sticks,111,74.0,118.0
783,spills,4,4.0,65.0
784,beer,270,178.0,118.0
785,serve,148,79.0,120.0
786,disappear,273,196.0,119.0
787,girl,17087,4748.0,120.0
788,supposed,546,313.0,116.0
789,drive,1273,737.0,120.0
790,wild,1696,627.0,120.0
791,sing,2702,1146.0,120.0
792,babalooo,1,1.0,-0.0
793,dizzy,105,61.0,118.0
794,clue,117,90.0,117.0
795,here's,777,419.0,120.0
796,let's,5620,1836.0,120.0
797,babaloo,4,2.0,18.0
798,club,1480,619.0,117.0
799,begging,307,161.0,118.0
800,pleading,31,23.0,115.0
801,honey,2015,931.0,120.0
802,show,4948,2345.0,120.0
803,wah,195,41.0,115.0
804,burn,956,437.0,120.0
805,roast,8,7.0,102.0
806,dishes,49,41.0,119.0
807,iron,74,50.0,117.0
808,new,5316,2491.0,120.0
809,shirt,250,159.0,119.0
810,hole,305,182.0,119.0
811,crazy,3498,1542.0,120.0
812,redhead,9,6.0,99.0
813,pity,155,95.0,117.0
814,day's,88,56.0,111.0
815,rerun,17,6.0,71.0
816,laughter's,1,1.0,-0.0
817,latin,52,23.0,114.0
818,leader,85,49.0,120.0
819,band,609,338.0,120.0
820,everbody,12,8.0,82.0
821,rumba,27,7.0,84.0
822,ha,1931,468.0,120.0
823,mowin',3,3.0,90.0
824,front,1082,687.0,120.0
825,lawn,64,52.0,115.0
826,white,1590,804.0,120.0
827,nerdy,32,2.0,20.0
828,roll,2525,993.0,120.0
829,gangstas,86,28.0,48.0
830,first,2708,1566.0,120.0
831,class,333,229.0,119.0
832,mit,2,2.0,63.0
833,skills,68,50.0,110.0
834,champion,93,39.0,87.0
835,d,803,394.0,117.0
836,m,2952,841.0,120.0
837,c,391,182.0,117.0
838,escher,1,1.0,-0.0
839,keep,9639,3916.0,120.0
840,40,139,89.0,119.0
841,earl,69,27.0,119.0
842,grey,139,110.0,119.0
843,tea,116,91.0,119.0
844,rims,106,70.0,84.0
845,spin,353,172.0,120.0
846,contrary,15,12.0,96.0
847,find,6355,3278.0,120.0
848,quite,472,332.0,119.0
849,stationary,2,2.0,76.0
850,action,342,144.0,106.0
851,figures,54,40.0,107.0
852,cherry,183,90.0,120.0
853,stephen,12,8.0,88.0
854,hawking's,1,1.0,-0.0
855,library,8,8.0,100.0
856,myspace,6,6.0,23.0
857,page,181,143.0,116.0
858,totally,87,48.0,101.0
859,pimped,12,9.0,32.0
860,people,4155,1942.0,120.0
861,beggin,11,9.0,92.0
862,top,1822,991.0,120.0
863,8,155,77.0,119.0
864,spaces,38,25.0,89.0
865,yo,2684,879.0,120.0
866,pi,7,4.0,116.0
867,thousand,653,416.0,120.0
868,places,434,286.0,119.0
869,grills,19,10.0,38.0
870,still,7444,3493.0,120.0
871,wear,808,486.0,120.0
872,braces,11,10.0,89.0
873,order,173,124.0,120.0
874,sandwiches,8,8.0,109.0
875,mayonnaise,1,1.0,-0.0
876,whiz,58,16.0,112.0
