,DATE,MonthID,S&P,S&P_detrended,Unemp,Unemp_detrended,Food&Beverage,Food&Beverage_detrended,GDP,GDP_detrended,Income,Income_detrended,LoanRate,LoanRate_detrended
366,1988-07-01,1988.5,272.019989,-1.4800109999999904,5.4,0.0,118.8,1.2000000000000028,8891.435,51.79399999999987,6511.8,27.0,,0.13666666666666671
367,1988-08-01,1988.5833333333333,261.519989,-10.5,5.6,0.1999999999999993,119.4,0.6000000000000085,,,6530.1,18.300000000000182,14.81,0.13666666666666671
368,1988-09-01,1988.6666666666667,271.910004,10.390015000000005,5.4,-0.1999999999999993,120.0,0.5999999999999943,,,6542.7,12.599999999999454,,0.08333333333333393
369,1988-10-01,1988.75,278.97000099999997,7.059996999999953,5.4,0.0,120.3,0.29999999999999716,9009.913,118.47800000000097,6577.6,34.900000000000546,,0.08333333333333215
370,1988-11-01,1988.8333333333333,273.700012,-5.269988999999953,5.3,-0.10000000000000053,120.5,0.20000000000000284,,,6579.8,2.199999999999818,15.06,0.08333333333333393
371,1988-12-01,1988.9166666666667,277.72000099999997,4.019988999999953,5.3,0.0,121.0,0.5,,,6612.2,32.399999999999636,,0.05333333333333279
372,1989-01-01,1989.0,297.47000099999997,19.75,5.4,0.10000000000000053,121.5,0.5,9101.508,91.59499999999935,6640.5,28.300000000000182,,0.053333333333334565
373,1989-02-01,1989.0833333333333,288.859985,-8.610015999999973,5.2,-0.20000000000000018,122.3,0.7999999999999972,,,6660.2,19.699999999999818,15.22,0.05333333333333279
374,1989-03-01,1989.1666666666667,294.869995,6.0100100000000225,5.0,-0.20000000000000018,123.1,0.7999999999999972,,,6693.7,33.5,,0.14333333333333265
375,1989-04-01,1989.25,309.640015,14.770019999999988,5.2,0.20000000000000018,123.7,0.6000000000000085,9170.976999999999,69.46899999999914,6659.3,-34.399999999999636,,0.14333333333333442
376,1989-05-01,1989.3333333333333,320.519989,10.879974000000004,5.2,0.0,124.6,0.8999999999999915,,,6628.8,-30.5,15.65,0.14333333333333265
377,1989-06-01,1989.4166666666667,317.980011,-2.539978000000019,5.3,0.09999999999999964,124.9,0.30000000000001137,,,6647.6,18.800000000000182,,-0.06666666666666643
378,1989-07-01,1989.5,346.079987,28.099976000000026,5.2,-0.09999999999999964,125.4,0.5,9238.923,67.94600000000173,6670.9,23.299999999999272,,-0.0666666666666682
379,1989-08-01,1989.5833333333333,351.450012,5.370024999999998,5.2,0.0,125.7,0.29999999999999716,,,6688.6,17.700000000000728,15.45,-0.06666666666666643
380,1989-09-01,1989.6666666666667,349.149994,-2.3000180000000228,5.3,0.09999999999999964,126.1,0.3999999999999915,,,6708.6,20.0,,-0.009999999999999787
381,1989-10-01,1989.75,340.359985,-8.790008999999998,5.3,0.0,126.7,0.6000000000000085,9257.128,18.204999999999927,6741.7,33.099999999999454,,-0.009999999999999787
382,1989-11-01,1989.8333333333333,345.98999,5.630004999999983,5.4,0.10000000000000053,127.2,0.5,,,6748.1,6.400000000000546,15.42,-0.009999999999999787
383,1989-12-01,1989.9166666666667,353.399994,7.410004000000015,5.4,0.0,127.7,0.5,,,6748.2,0.0999999999994543,,-0.05000000000000071
384,1990-01-01,1990.0,329.079987,-24.320006999999976,5.4,0.0,129.4,1.7000000000000028,9358.289,101.16100000000006,6787.8,39.600000000000364,,-0.049999999999998934
385,1990-02-01,1990.0833333333333,331.890015,2.8100279999999884,5.3,-0.10000000000000053,130.5,1.0999999999999943,,,6801.9,14.099999999999454,15.27,-0.05000000000000071
386,1990-03-01,1990.1666666666667,339.940002,8.049986999999987,5.2,-0.09999999999999964,130.7,0.19999999999998863,,,6803.6,1.7000000000007276,,0.046666666666666856
387,1990-04-01,1990.25,330.799988,-9.140014000000008,5.4,0.20000000000000018,130.6,-0.09999999999999432,9392.251,33.961999999999534,6847.3,43.69999999999982,,0.046666666666666856
388,1990-05-01,1990.3333333333333,361.230011,30.430023000000006,5.4,0.0,130.9,0.30000000000001137,,,6839.1,-8.199999999999818,15.41,0.046666666666666856
389,1990-06-01,1990.4166666666667,358.019989,-3.210021999999981,5.2,-0.20000000000000018,131.8,0.9000000000000057,,,6848.9,9.799999999999272,,0.016666666666667496
