Date,Open,High,Low,Close,Adj Close,Volume
1958-08-06,47.459999,48.160000,47.459999,47.730000,47.730000,15760000
1958-08-13,47.810001,47.910000,47.220001,47.299999,47.299999,13760000
1958-08-20,47.320000,47.900002,47.320000,47.900002,47.900002,13140000
1958-08-27,47.910000,48.000000,47.660000,48.000000,48.000000,10980000
1958-09-03,48.180000,48.459999,47.970001,48.459999,48.459999,15370000
1958-09-10,48.310001,49.349998,48.310001,49.349998,49.349998,16200000
1958-09-17,49.349998,49.560001,49.200001,49.560001,49.560001,18570000
1958-09-24,49.779999,50.060001,49.570000,50.060001,50.060001,18870000
1958-10-01,49.980000,51.070000,49.980000,51.070000,51.070000,18500000
1958-10-08,51.060001,51.619999,51.049999,51.259998,51.259998,21620000
1958-10-15,50.580002,51.459999,50.580002,51.270000,51.270000,23300000
1958-10-22,51.070000,51.070000,50.419998,50.580002,50.580002,18530000
1958-10-29,51.070000,51.560001,51.070000,51.560001,51.560001,16310000
1958-11-05,52.029999,52.980000,52.029999,52.980000,52.980000,20440000
1958-11-12,53.049999,53.240002,52.830002,53.130001,53.130001,21390000
1958-11-19,53.200001,53.209999,51.020000,51.020000,51.020000,21070000
1958-11-26,51.900002,52.689999,51.900002,52.459999,52.459999,15330000
1958-12-03,52.529999,52.820000,52.459999,52.820000,52.820000,17830000
1958-12-10,53.459999,53.570000,53.220001,53.570000,53.570000,19040000
1958-12-17,53.919998,54.150002,53.419998,53.419998,53.419998,17240000
1958-12-24,54.110001,54.930000,54.110001,54.930000,54.930000,10740000
1958-12-31,55.209999,55.660000,55.209999,55.590000,55.590000,15250000
1959-01-07,54.889999,55.779999,54.889999,55.470001,55.470001,21040000
1959-01-14,55.619999,55.830002,55.619999,55.720001,55.720001,20410000
1959-01-21,56.040001,56.040001,55.770000,55.779999,55.779999,19250000
1959-01-28,55.160000,55.450001,55.160000,55.279999,55.279999,18090000
1959-02-04,55.060001,55.060001,53.580002,54.320000,54.320000,15410000
1959-02-11,54.349998,54.500000,54.000000,54.290001,54.290001,15370000
1959-02-18,54.299999,55.520000,54.299999,55.480000,55.480000,16170000
1959-02-25,55.240002,56.250000,55.240002,56.250000,56.250000,21010000
1959-03-04,56.349998,56.430000,56.150002,56.310001,56.310001,19460000
1959-03-11,56.349998,56.669998,56.060001,56.520000,56.520000,22880000
1959-03-18,56.389999,56.389999,55.869999,55.959999,55.959999,19150000
1959-03-25,55.880001,55.880001,55.439999,55.439999,55.439999,11940000
1959-04-01,55.689999,56.599998,55.689999,56.480000,56.480000,16410000
1959-04-08,56.209999,56.709999,56.169998,56.709999,56.709999,15550000
1959-04-15,56.959999,58.169998,56.959999,58.110001,58.110001,18600000
1959-04-22,57.730000,58.139999,57.599998,57.919998,57.919998,18300000
1959-04-29,57.689999,57.750000,57.590000,57.750000,57.750000,16420000
1959-05-06,57.610001,57.959999,56.880001,57.959999,57.959999,19980000
1959-05-13,57.970001,58.369999,57.970001,58.320000,58.320000,16850000
1959-05-20,58.090000,58.330002,58.090000,58.090000,58.090000,15980000
1959-05-27,58.189999,58.680000,58.189999,58.230000,58.230000,14550000
1959-06-03,58.250000,58.250000,56.360001,56.360001,56.360001,15380000
1959-06-10,57.189999,57.290001,56.560001,56.560001,56.560001,13860000
1959-06-17,57.090000,57.130001,57.049999,57.119999,57.119999,13490000
1959-06-24,57.410000,58.470001,57.410000,58.470001,58.470001,15730000
1959-07-01,58.970001,60.009998,58.970001,60.009998,60.009998,14320000
1959-07-08,60.029999,60.029999,59.410000,59.549999,59.549999,17760000
1959-07-15,59.590000,59.590000,58.910000,59.410000,59.410000,14410000
1959-07-22,59.610001,60.320000,59.610001,60.320000,60.320000,15440000
1959-07-29,60.619999,60.709999,60.500000,60.610001,60.610001,13910000
1959-08-05,60.299999,60.299999,58.619999,59.389999,59.389999,14990000
1959-08-12,59.250000,59.290001,58.619999,58.619999,58.619999,10970000
1959-08-19,58.270000,59.139999,58.270000,58.990002,58.990002,11320000
1959-08-26,59.070000,59.599998,58.869999,58.869999,58.869999,11260000
1959-09-02,58.919998,58.919998,57.700001,57.700001,57.700001,9940000
1959-09-09,57.290001,57.410000,56.680000,56.680000,56.680000,13610000
1959-09-16,56.720001,56.720001,55.139999,55.139999,55.139999,13040000
1959-09-23,55.820000,57.509998,55.820000,57.509998,57.509998,15630000
1959-09-30,56.880001,57.200001,56.880001,57.090000,57.090000,12210000
1959-10-07,56.939999,57.320000,56.810001,57.160000,57.160000,11710000
1959-10-14,56.709999,57.330002,56.660000,56.660000,56.660000,12480000
1959-10-21,56.549999,57.419998,56.000000,57.419998,57.419998,16410000
1959-10-28,57.459999,57.520000,57.410000,57.410000,57.410000,14690000
1959-11-04,57.259998,57.599998,57.259998,57.480000,57.480000,17280000
1959-11-11,57.490002,57.490002,56.220001,56.380001,56.380001,16750000
1959-11-18,56.990002,57.349998,56.939999,57.349998,57.349998,16900000
1959-11-25,57.439999,58.700001,57.439999,58.700001,58.700001,14240000
1959-12-02,58.599998,59.340000,58.599998,59.340000,59.340000,17850000
1959-12-09,58.970001,59.040001,58.880001,58.900002,58.900002,16060000
1959-12-16,58.970001,59.209999,58.860001,59.139999,59.139999,15760000
1959-12-23,58.959999,59.299999,58.959999,59.299999,59.299999,11060000
1959-12-30,59.770000,60.389999,59.770000,60.389999,60.389999,15190000
1960-01-06,60.130001,60.130001,58.410000,58.410000,58.410000,17560000
1960-01-13,58.080002,58.400002,57.270000,57.270000,57.270000,16550000
1960-01-20,57.070000,57.380001,56.779999,56.860001,56.860001,13960000
1960-01-27,56.720001,56.820000,55.610001,56.820000,56.820000,14050000
1960-02-03,56.320000,56.320000,55.320000,55.840000,55.840000,14360000
1960-02-10,55.490002,55.490002,54.730000,54.730000,54.730000,13330000
1960-02-17,55.029999,56.240002,55.029999,55.939999,55.939999,14200000
1960-02-24,55.740002,56.160000,55.740002,56.009998,56.009998,15630000
1960-03-02,55.619999,55.619999,53.470001,53.470001,53.470001,16600000
1960-03-09,54.040001,54.740002,53.830002,54.740002,54.740002,14920000
1960-03-16,55.040001,55.290001,54.959999,55.290001,55.290001,12710000
1960-03-23,55.740002,55.980000,55.740002,55.779999,55.779999,13420000
1960-03-30,55.660000,55.660000,55.340000,55.369999,55.369999,12690000
1960-04-06,56.509998,56.520000,56.169998,56.299999,56.299999,14330000
1960-04-13,56.299999,56.590000,56.130001,56.130001,56.130001,11740000
1960-04-20,55.439999,55.590000,54.860001,55.040001,55.040001,14620000
1960-04-27,55.040001,55.040001,54.130001,54.830002,54.830002,14900000
1960-05-04,55.040001,55.040001,54.419998,54.419998,54.419998,13640000
1960-05-11,54.570000,55.459999,54.570000,55.459999,55.459999,17480000
1960-05-18,55.439999,55.759998,55.439999,55.700001,55.700001,17880000
1960-05-25,55.669998,55.830002,55.669998,55.830002,55.830002,13950000
1960-06-01,55.889999,57.430000,55.889999,57.430000,57.430000,17770000
1960-06-08,57.889999,58.000000,57.889999,57.910000,57.910000,17170000
1960-06-15,57.570000,57.570000,57.110001,57.110001,57.110001,18920000
1960-06-22,57.279999,57.680000,56.939999,56.939999,56.939999,16520000
1960-06-29,56.939999,57.060001,56.919998,57.020000,57.020000,11500000
1960-07-06,56.939999,57.380001,56.250000,56.250000,56.250000,14810000
1960-07-13,56.099998,56.119999,55.700001,55.700001,55.700001,12050000
1960-07-20,55.610001,55.610001,54.180000,54.509998,54.509998,13290000
1960-07-27,54.169998,55.529999,54.169998,55.040001,55.040001,12840000
1960-08-03,54.720001,55.840000,54.720001,55.840000,55.840000,13970000
1960-08-10,56.070000,56.720001,56.070000,56.720001,56.720001,14200000
1960-08-17,56.840000,57.750000,56.810001,57.750000,57.750000,14870000
1960-08-24,58.070000,58.070000,56.840000,56.840000,56.840000,14630000
1960-08-31,56.959999,57.090000,56.490002,56.490002,56.490002,11850000
1960-09-07,55.790001,56.110001,55.720001,55.830002,55.830002,12610000
1960-09-14,55.439999,55.439999,53.860001,54.009998,54.009998,15190000
1960-09-21,54.570000,54.570000,52.939999,52.939999,52.939999,14580000
1960-09-28,52.480000,53.520000,52.480000,52.990002,52.990002,14230000
1960-10-05,53.389999,54.220001,53.389999,54.220001,54.220001,12070000
1960-10-12,54.150002,54.860001,54.150002,54.349998,54.349998,11080000
1960-10-19,54.250000,54.250000,52.200001,52.200001,52.200001,15860000
1960-10-26,53.049999,53.939999,53.049999,53.939999,53.939999,13470000
1960-11-02,54.220001,55.110001,54.220001,55.110001,55.110001,11950000
1960-11-09,55.349998,56.430000,55.349998,55.810001,55.810001,15860000
1960-11-16,55.700001,55.930000,55.549999,55.720001,55.720001,14840000
1960-11-23,55.799999,56.130001,55.799999,55.830002,55.830002,13680000
1960-11-30,55.540001,55.540001,55.299999,55.470001,55.470001,15960000
1960-12-07,56.020000,56.880001,56.020000,56.880001,56.880001,18180000
1960-12-14,56.840000,57.200001,56.680000,57.090000,57.090000,18280000
1960-12-21,57.549999,57.549999,57.389999,57.520000,57.520000,14730000
1960-12-28,57.779999,58.110001,57.570000,57.570000,57.570000,16030000
1961-01-04,58.360001,58.970001,58.360001,58.970001,58.970001,20640000
1961-01-11,59.139999,59.639999,59.139999,59.639999,59.639999,21500000
1961-01-18,59.680000,60.450001,59.680000,60.450001,60.450001,21130000
1961-01-25,60.529999,61.970001,60.529999,61.779999,61.779999,22970000
1961-02-01,61.900002,62.299999,61.650002,61.650002,61.650002,22400000
1961-02-08,62.209999,62.209999,61.139999,61.410000,61.410000,23420000
1961-02-15,61.919998,62.360001,61.919998,62.360001,62.360001,24660000
1961-02-22,62.590000,63.439999,62.590000,63.439999,63.439999,22250000
1961-03-01,63.430000,64.050003,63.430000,63.470001,63.470001,26990000
1961-03-08,63.439999,63.660000,63.380001,63.380001,63.380001,27850000
1961-03-15,63.570000,64.860001,63.570000,64.739998,64.739998,28050000
1961-03-22,64.699997,64.699997,64.349998,64.379997,64.379997,21220000
1961-03-29,64.930000,65.660004,64.930000,65.660004,65.660004,24490000
1961-04-05,65.459999,66.620003,65.459999,66.620003,66.620003,26220000
1961-04-12,66.309998,68.680000,66.199997,66.199997,66.199997,25570000
1961-04-19,65.809998,65.820000,64.400002,65.300003,65.300003,23280000
1961-04-26,65.550003,65.639999,65.169998,65.639999,65.639999,20960000
1961-05-03,66.180000,66.519997,66.180000,66.470001,66.470001,25820000
1961-05-10,66.410004,67.080002,66.389999,67.080002,67.080002,25410000
1961-05-17,67.389999,67.389999,66.680000,66.680000,66.680000,22060000
1961-05-24,66.260002,66.430000,66.010002,66.430000,66.430000,11510000
1961-05-31,66.559998,67.080002,66.559998,66.889999,66.889999,20160000
1961-06-07,65.639999,66.669998,65.639999,65.800003,65.800003,17600000
1961-06-14,65.980003,65.980003,64.580002,65.150002,65.150002,17290000
1961-06-21,65.139999,65.160004,64.470001,64.470001,64.470001,14590000
1961-06-28,64.589996,65.209999,64.519997,65.209999,65.209999,9950000
1961-07-05,65.629997,65.809998,65.629997,65.690002,65.690002,16110000
1961-07-12,65.320000,65.320000,64.410004,64.410004,64.410004,14200000
1961-07-19,64.699997,65.230003,64.699997,65.230003,65.230003,13330000
1961-07-26,65.839996,67.370003,65.839996,67.370003,67.370003,19010000
1961-08-02,66.940002,67.820000,66.940002,67.820000,67.820000,19270000
1961-08-09,67.739998,68.059998,67.550003,67.550003,67.550003,16980000
1961-08-16,67.730003,68.440002,67.730003,68.440002,68.440002,19110000
1961-08-23,67.980003,67.980003,67.550003,67.550003,67.550003,16000000
1961-08-30,67.809998,68.190002,67.809998,67.959999,67.959999,11850000
1961-09-06,68.459999,68.459999,67.279999,67.959999,67.959999,16510000
1961-09-13,68.010002,68.010002,66.080002,66.080002,66.080002,15970000
1961-09-20,66.959999,66.989998,65.769997,65.779999,65.779999,16130000
1961-09-27,66.470001,66.769997,66.470001,66.730003,66.730003,14980000
1961-10-04,67.180000,68.110001,66.970001,68.110001,68.110001,17120000
1961-10-11,68.169998,68.169998,67.849998,67.870003,67.870003,15770000
1961-10-18,68.209999,68.449997,67.980003,67.980003,67.980003,17710000
1961-10-25,68.339996,68.620003,68.339996,68.620003,68.620003,16900000
1961-11-01,68.730003,70.010002,68.730003,70.010002,70.010002,15510000
1961-11-08,70.870003,71.660004,70.769997,71.660004,71.660004,24240000
1961-11-15,71.669998,71.779999,71.620003,71.779999,71.779999,21680000
1961-11-22,71.699997,71.849998,71.699997,71.750000,71.750000,17580000
1961-11-29,71.699997,72.010002,71.320000,71.930000,71.930000,22070000
1961-12-06,71.989998,72.639999,71.699997,72.639999,72.639999,21150000
1961-12-13,72.529999,72.529999,71.260002,71.260002,71.260002,20200000
1961-12-20,71.120003,71.120003,70.860001,71.019997,71.019997,13650000
1961-12-27,71.650002,71.959999,70.709999,70.959999,70.959999,17190000
1962-01-03,70.959999,71.620003,68.169998,69.150002,69.150002,20890000
1962-01-10,69.150002,70.169998,68.570000,69.070000,69.070000,17520000
1962-01-17,69.070000,70.080002,67.750000,68.290001,68.290001,18200000
1962-01-24,68.290001,69.050003,67.550003,68.169998,68.169998,17220000
1962-01-31,68.169998,70.320000,68.120003,69.959999,69.959999,19590000
1962-02-07,69.959999,70.949997,69.779999,70.449997,70.449997,17340000
1962-02-14,70.449997,71.129997,70.029999,70.660004,70.660004,17450000
1962-02-21,70.660004,70.970001,69.440002,69.889999,69.889999,12560000
1962-02-28,69.889999,70.599998,69.459999,69.779999,69.779999,14860000
1962-03-07,69.779999,70.860001,69.370003,70.599998,70.599998,15920000
1962-03-14,70.599998,71.440002,70.400002,70.660004,70.660004,16260000
1962-03-21,70.660004,70.930000,69.410004,69.699997,69.699997,15670000
1962-03-28,69.699997,70.500000,68.529999,68.809998,68.809998,14900000
1962-04-04,68.809998,69.419998,67.940002,68.559998,68.559998,15050000
1962-04-11,68.559998,69.260002,67.029999,67.900002,67.900002,16040000
1962-04-18,67.900002,69.010002,67.830002,68.459999,68.459999,12730000
1962-04-25,68.459999,68.580002,63.759998,65.699997,65.699997,20380000
1962-05-02,65.699997,66.930000,64.879997,65.169998,65.169998,15660000
1962-05-09,65.169998,65.169998,61.110001,64.290001,64.290001,23680000
1962-05-16,64.290001,64.879997,62.259998,62.340000,62.340000,14700000
1962-05-23,62.340000,62.419998,53.130001,58.080002,58.080002,41180000
1962-05-30,58.799999,60.820000,56.330002,57.570000,57.570000,27990000
1962-06-06,57.639999,59.169998,56.230000,56.340000,56.340000,17070000
1962-06-13,56.340000,56.799999,53.660000,55.540001,55.540001,26480000
1962-06-20,55.540001,55.919998,51.349998,52.320000,52.320000,25280000
1962-06-27,52.320000,56.740002,51.770000,56.490002,56.490002,21420000
1962-07-04,56.490002,58.360001,55.540001,57.200001,57.200001,16530000
1962-07-11,57.200001,58.669998,56.680000,56.779999,56.779999,19630000
1962-07-18,56.779999,57.320000,55.860001,56.360001,56.360001,14650000
1962-07-25,56.360001,58.580002,55.779999,58.230000,58.230000,15980000
1962-08-01,58.230000,58.349998,57.070000,57.360001,57.360001,18580000
1962-08-08,57.360001,58.430000,56.759998,58.250000,58.250000,14530000
1962-08-15,58.250000,59.720001,58.220001,59.119999,59.119999,20800000
1962-08-22,59.119999,60.330002,58.660000,58.790001,58.790001,18500000
1962-08-29,58.790001,59.490002,58.169998,58.560001,58.560001,10960000
1962-09-05,58.560001,58.930000,57.720001,58.590000,58.590000,14680000
1962-09-12,58.590000,59.540001,58.400002,59.029999,59.029999,16100000
1962-09-19,59.029999,59.290001,56.119999,56.959999,56.959999,19200000
1962-09-26,56.959999,57.290001,55.259998,56.099998,56.099998,16030000
1962-10-03,56.099998,57.410000,55.840000,57.200001,57.200001,12160000
1962-10-10,57.200001,57.830002,56.660000,57.080002,57.080002,13020000
1962-10-17,57.080002,57.230000,53.240002,53.490002,53.490002,22970000
